date,svc_ltcy_200,svc_req_rate,svc_cpu_use,svc_cpu_sat,svc_net_use,svc_disk_use,system_cpu_use,system_cpu_sat,system_net_use,svc_req_size,svc_resp_size,svc_pods
2020-02-17 08:36:51,0.05,0.6400000000000001,0.16,0.06,53544.439999999995,787.34,0.17999999999999972,0.5900000000000034,526675.5500000003,1046.39,7048.01,0.0
2020-02-17 08:37:06,0.05,0.6400000000000001,0.07,-0.020000000000000004,18535.600000000006,885.3799999999999,0.10000000000000009,0.4099999999999966,362572.5800000001,1046.39,7048.01,0.0
2020-02-17 08:37:21,0.06,0.56,-0.010000000000000009,0.010000000000000009,7652.470000000001,-742.25,-0.029999999999999805,-5.329999999999998,36011.779999999795,832.21,5735.02,0.0
2020-02-17 08:37:36,0.01999999999999999,-0.050000000000000266,0.020000000000000018,-0.010000000000000009,172.3399999999965,10578.400000000001,-0.06000000000000005,8.170000000000002,-77753.12999999989,-217.0,-1925.5400000000009,-1.0
2020-02-17 08:37:51,0.010000000000000009,0.0900000000000003,-0.020000000000000018,0.010000000000000009,9270.23999999999,6293.829999999998,-0.020000000000000018,4.159999999999997,-66192.56000000006,103.55000000000018,675.5,-3.0
2020-02-17 08:38:06,0.0,-0.13000000000000034,-0.02999999999999997,-0.04000000000000001,-4722.619999999995,-5002.519999999999,0.06000000000000005,2.5,-188994.1299999999,-1022.5100000000002,-23229.91,4.0
2020-02-17 08:38:21,0.36,0.0,-0.010000000000000009,0.05,-31862.660000000003,-10018.61,0.020000000000000018,-5.0,72078.29000000004,841.75,22116.73,0.0
2020-02-17 08:38:36,-0.36,-0.08999999999999986,0.02999999999999997,-0.020000000000000004,1293.9600000000064,-229.17999999999984,0.009999999999999787,-4.409999999999997,469683.9299999997,-127.84000000000015,-950.2599999999984,0.0
2020-02-17 08:38:51,0.0,0.0,0.0,0.0,84257.50000000001,9996.23,-0.08000000000000007,-4.170000000000002,-7395.310000000056,30.309999999999945,256.9699999999975,0.0
2020-02-17 08:39:06,-0.03,0.08999999999999986,0.0,-0.039999999999999994,17860.119999999995,-1914.0400000000009,-0.020000000000000018,1.0799999999999983,19748.860000000335,237.6600000000003,1776.800000000003,0.0
2020-02-17 08:39:21,0.01999999999999999,-0.1299999999999999,-0.019999999999999962,0.020000000000000004,-69568.74000000002,-7784.32,0.050000000000000266,-1.8299999999999983,-456078.70999999996,-649.0500000000002,-23229.06,0.0
2020-02-17 08:39:36,0.010000000000000009,0.2200000000000002,0.0,0.009999999999999995,-3689.0999999999767,8537.59,-0.020000000000000018,0.6700000000000017,35832.39999999991,808.0900000000001,24412.29,0.0
2020-02-17 08:39:51,0.0,0.040000000000000036,-0.14,0.020000000000000004,-3995.1300000000047,3838.4400000000005,0.0,-4.670000000000002,-87121.24000000022,-123.73000000000002,-1179.1800000000003,0.0
2020-02-17 08:40:06,-0.010000000000000009,-0.040000000000000036,0.16999999999999998,0.0,10759.819999999978,-10245.880000000001,-0.040000000000000036,4.079999999999998,-34005.779999999795,-513.56,-21921.55,0.0
2020-02-17 08:40:21,-0.009999999999999981,-0.0900000000000003,-0.02999999999999997,0.009999999999999995,-8542.379999999976,-3994.09,-0.010000000000000009,-5.909999999999997,9973.25,260.6999999999998,20129.3,0.0
2020-02-17 08:40:36,0.009999999999999981,-0.2699999999999998,0.009999999999999953,0.009999999999999995,-21428.290000000008,7671.54,-0.010000000000000009,-1.3400000000000034,-6628.780000000261,-263.40999999999985,-1421.9300000000003,-3.0
