svc_cpu_use,svc_cpu_thr,svc_net_use,svc_disk_use,system_cpu_use,system_cpu_sat,system_net_use,svc_req_size,svc_resp_size,svc_pods,svc_req_rate,ltcy
-2.39706479983733,-1.145755632890318,-2.164794057656719,-2.2482398983882335,-1.5713308913784885,-1.3483041328746914,-2.0938235692301914,-1.7538887603139601,-1.2892063237309113,-1.4854367574865295,-1.9977143066571041,0.33166247903553997
-2.192517305243642,-1.270108893177779,-2.0522740719869272,-2.1288624354100376,-1.570137457283502,-1.3468466670451673,-2.0296773206668663,-1.6720097067664763,-1.2297784841189143,-1.4854367574865295,-1.9276227827963115,0.4
-2.22050961939437,-1.2063749193120321,-2.008189562621224,-2.226881208933974,-1.570513668523298,-1.3651794261933519,-2.023306125715809,-1.6068900409126823,-1.1814215934885668,-1.4854367574865295,-1.8662926994181184,0.469041575982343
-2.164890950913488,-1.270108893177779,-2.0072111048490404,-1.4043319633914009,-1.5712191913162854,-1.3365348342303411,-2.037062189683902,-1.6238700910085395,-1.197657478835847,-1.7089507523434369,-1.8717685997197429,0.4898979485566356
-2.22050961939437,-1.2063749193120321,-1.9554555987173967,-1.1052872038299248,-1.571440952841865,-1.3207480319346403,-2.0487729605502563,-1.6157673989005856,-1.1919617568295073,-2.3794927369141585,-1.8619119791768188,0.5
-2.306837057020819,-1.4863198387255334,-1.9816104932125709,-1.337600735809623,-1.5707556802157485,-1.3108707390987215,-2.082209753922743,-1.6957778644467372,-1.3878331255819811,-1.4854367574865295,-1.8761493199610422,0.5
-2.3364536076936213,-1.145755632890318,-2.1708349513107428,-2.0079465093793476,-1.570513668523298,-1.330332508073182,-2.0694576812029597,-1.6299117023813556,-1.201347935694078,-1.4854367574865295,-1.8761493199610422,0.7810249675906654
-2.248882833890556,-1.270108893177779,-2.1626530469334173,-2.0311342058475232,-1.5703900406770586,-1.3465256813815027,-1.9863613198620678,-1.6399150646129428,-1.2093603957884442,-1.4854367574865295,-1.8860059405039662,0.5
-2.248882833890556,-1.270108893177779,-1.7058279188273533,-1.3503412014031577,-1.5713308913784885,-1.3609994678382962,-1.9876696962248441,-1.6375433350350375,-1.2071936605049964,-1.4854367574865295,-1.8860059405039662,0.5
-2.248882833890556,-1.5701404779733472,-1.6227456038436303,-1.4515415949173314,-1.5715493918104173,-1.3573290363045458,-1.984175732940576,-1.6189466589715285,-1.1922119301410217,-1.4854367574865295,-1.8761493199610422,0.469041575982343
-2.306837057020819,-1.4092388058173735,-1.9705916001083355,-2.001147235532804,-1.5709908105817598,-1.363516227352251,-2.06486506222218,-1.669734223555474,-1.3880761318117707,-1.4854367574865295,-1.8903866607452655,0.4898979485566356
-2.306837057020819,-1.3374935297084707,-1.991181943013706,-1.4107634045586812,-1.5712191913162854,-1.36126917778445,-2.0585256031350627,-1.6065019254819195,-1.1822350994236839,-1.4854367574865295,-1.8662926994181184,0.5
-2.7726755951026987,-1.2063749193120321,-2.0137885409415217,-1.220361212707611,-1.5712191913162854,-1.3764938633799968,-2.0739390707397702,-1.6161836839997097,-1.1921777811045664,-1.4854367574865295,-1.8619119791768188,0.5
-2.22050961939437,-1.2063749193120321,-1.9536265694135118,-1.8159755319216402,-1.5716562243086223,-1.3632490286020942,-2.07995536468144,-1.6563692808993797,-1.3770172403911412,-1.4854367574865295,-1.8662926994181184,0.4898979485566356
-2.306837057020819,-1.145755632890318,-2.0012007209594813,-2.2188058230038323,-1.5717614662814305,-1.3821812092976788,-2.0781908998300604,-1.6359697460607165,-1.2072897837187229,-1.4854367574865295,-1.8761493199610422,0.47958315233127197
-2.277652934394991,-1.0878346344809915,-2.127449277001068,-1.5655203401470026,-1.5718651335942664,-1.3862462078173445,-2.0793636619003517,-1.656581335902881,-1.2192792996217205,-2.1559787420572514,-1.905719181589814,0.4898979485566356
-2.277652934394991,-1.145755632890318,-2.0615090808860144,-1.3098499125198184,-1.5722643707709767,-1.395755898571376,-2.099997792351841,-1.6565985507002132,-1.2193207843771185,-1.4854367574865295,-1.905719181589814,0.5
-2.366522397924246,-1.2063749193120321,-2.1800990529979845,-1.8298481820359491,-1.571967242033029,-1.387979598334607,-2.0949696429568805,-1.654522602640107,-1.2142588010325053,-1.4854367574865295,-1.9100999018311136,0.5
-2.3364536076936213,-1.270108893177779,-2.166573307970989,-2.0676849411321943,-1.5715493918104173,-1.3933454315185692,-2.0840170793516575,-1.6657403905744024,-1.2240693554538178,-1.4854367574865295,-1.915575802132738,0.4898979485566356
-2.137616567784245,-1.4092388058173735,-1.9595321749777135,-1.3774532263881545,-1.569877657759305,-1.3837078384311232,-2.0052334128010854,-1.5946745772239068,-1.1744890018136702,-1.4854367574865295,-1.852055358633895,0.5830951894845301
-1.9306698786587282,-1.0878346344809915,-1.7089566549431088,-1.312936879419529,-1.5668521928372023,-1.3859758208789865,-1.9072678969135568,-1.5036482063667191,-1.1099645239089535,-1.4854367574865295,-1.7688216740492038,0.5744562646538028
-1.810026840286081,-0.7820661829538464,-1.5099513589469244,-1.7394375523289027,-1.564624480915241,-1.3971750054135437,-1.8221266228483792,-1.3527370330263035,-0.9994096744205057,-2.3794927369141585,-1.637400066810218,0.5099019513592785
-1.6503186371631275,-0.648557917657025,-1.4218095017932535,-1.9392892532749284,-1.5629473035787258,-1.4018024462455307,-1.7932052636793214,-1.3928036913262238,-0.9935277769265269,-1.932464747200344,-1.6187820057846947,0.4898979485566356
-1.5847402420434074,-0.6919327327289749,-1.6160649055527396,-1.040348525892144,-1.5650191199552053,-1.4132906994237386,-1.8237310673283877,-1.6551556376874594,-0.9836730395543437,-1.4854367574865295,-1.6231627260259944,0.47958315233127197
-1.7175580338021406,-0.7364061662346637,-1.566679528951753,-0.826983962835936,-1.5652128495450952,-1.4172539476548658,-1.8324719218117025,-1.36717085809857,-1.0021134349216942,-1.4854367574865295,-1.6669699284389896,0.4898979485566356
-1.810026840286081,-0.5242914542333477,-1.5269280136628653,-1.324375903808369,-1.5654042118002207,-1.41455754158327,-1.8559584302441399,-1.4036310163573933,-1.0303272845226035,-1.4854367574865295,-1.700920510309061,0.5477225575051661
-1.810026840286081,-0.8290131532138321,-1.6690572818533347,-2.0068164224503784,-1.5648230035864599,-1.4081062041066614,-1.8579211354395027,-1.4142376789863953,-1.0317698072773698,-1.4854367574865295,-1.7151578510932846,0.5567764362830022
-1.857570563489998,-0.978825592340545,-1.6000606237012487,-1.0070341334091868,-1.56422013817328,-1.407656880398337,-1.758861685843469,-1.400447061341723,-1.0347123580779212,-1.4854367574865295,-1.681207269223213,0.6
-1.69495248951064,-0.9272477888539615,-1.297574840610837,-0.7595003672671924,-1.5652128495450952,-1.389962344523755,-1.7562068157587571,-1.3971339953460613,-1.0345403481165159,-1.4854367574865295,-1.6669699284389896,0.5916079783099616
-1.7633720200143836,-0.8773624498311321,-1.2068441186313525,-1.793676948108655,-1.5657799116849187,-1.378313393542027,-1.7624007848931977,-1.4001559747686514,-1.0345924570165885,-1.4854367574865295,-1.6713506486802892,0.6
-1.8336844061656206,-0.8773624498311321,-1.5539826776745964,-2.1365558009729395,-1.566326188030794,-1.3788437173764467,-1.8742727819164071,-1.431065925869414,-1.056908388587898,-1.4854367574865295,-1.6965397900677615,0.5
-1.7403627574310077,-0.9272477888539615,-1.6056351919606138,-0.8086914733855097,-1.5671918517786496,-1.3821812092976788,-1.8894222339541655,-1.4177095906119859,-1.0471945476105717,-1.4854367574865295,-1.681207269223213,0.47958315233127197
-1.8816920694647135,-0.7820661829538464,-1.5517199509158996,-0.7810797503131872,-1.5666790788159897,-1.390696787364116,-1.8667108693100918,-1.4091475764115773,-1.0458624822329823,-1.4854367574865295,-1.6713506486802892,0.4898979485566356
-1.8816920694647135,-0.6919327327289749,-1.6119769529853372,-1.432487136374921,-1.5668521928372023,-1.36126917778445,-1.8822125349463041,-1.3986966294493532,-1.0352304959273506,-1.4854367574865295,-1.6713506486802892,0.6
-1.8816920694647135,-0.9272477888539615,-1.5936461381349953,-2.0835344821849238,-1.5655932260851486,-1.3767457700709498,-1.8678396261320955,-1.4127861585749752,-1.0431948100962454,-1.4854367574865295,-1.6866831695248374,0.648074069840786
