name,ztime,service,value
service_req_total,2020-02-28 11:59:38,checkoutservice,477
service_req_total,2020-02-28 11:59:23,checkoutservice,390
service_req_total,2020-02-28 11:59:08,checkoutservice,390
service_req_total,2020-02-28 11:58:53,checkoutservice,390
service_req_total,2020-02-28 11:58:38,checkoutservice,390
service_req_total,2020-02-28 11:58:23,checkoutservice,390
service_req_total,2020-02-28 11:58:08,checkoutservice,390
service_req_total,2020-02-28 11:57:53,checkoutservice,390
service_req_total,2020-02-28 11:57:38,checkoutservice,390
service_req_total,2020-02-28 11:57:23,checkoutservice,390
service_req_total,2020-02-28 11:57:08,checkoutservice,390
service_req_total,2020-02-28 11:56:53,checkoutservice,390
service_req_total,2020-02-28 11:56:38,checkoutservice,390
service_req_total,2020-02-28 11:56:23,checkoutservice,390
service_req_total,2020-02-28 11:56:08,checkoutservice,390
service_req_total,2020-02-28 11:55:53,checkoutservice,390
service_req_total,2020-02-28 11:55:38,checkoutservice,390
service_req_total,2020-02-28 11:55:23,checkoutservice,390
service_req_total,2020-02-28 11:55:08,checkoutservice,390
service_req_total,2020-02-28 11:54:53,checkoutservice,390
service_req_total,2020-02-28 11:54:38,checkoutservice,390
service_req_total,2020-02-28 11:54:23,checkoutservice,390
service_req_total,2020-02-28 11:54:08,checkoutservice,390
service_req_total,2020-02-28 11:53:53,checkoutservice,390
service_req_total,2020-02-28 11:53:38,checkoutservice,390
service_req_total,2020-02-28 11:53:23,checkoutservice,390
service_req_total,2020-02-28 11:53:08,checkoutservice,390
service_req_total,2020-02-28 11:52:53,checkoutservice,390
service_req_total,2020-02-28 11:52:38,checkoutservice,390
service_req_total,2020-02-28 11:52:23,checkoutservice,390
service_req_total,2020-02-28 11:51:38,checkoutservice,390
service_req_total,2020-02-28 11:51:23,checkoutservice,390
service_req_total,2020-02-28 11:51:08,checkoutservice,390
service_req_total,2020-02-28 11:50:53,checkoutservice,390
service_req_total,2020-02-28 11:50:38,checkoutservice,390
service_req_total,2020-02-28 11:50:23,checkoutservice,390
service_req_total,2020-02-28 11:50:08,checkoutservice,390
service_req_total,2020-02-28 11:49:53,checkoutservice,390
service_req_total,2020-02-28 11:49:38,checkoutservice,390
service_req_total,2020-02-28 11:49:23,checkoutservice,390
service_req_total,2020-02-28 11:49:08,checkoutservice,390
service_req_total,2020-02-28 11:48:53,checkoutservice,390
service_req_total,2020-02-28 10:53:08,checkoutservice,NaN
service_req_total,2020-02-28 10:52:53,checkoutservice,238
service_req_total,2020-02-28 10:52:38,checkoutservice,238
service_req_total,2020-02-28 10:52:23,checkoutservice,238
service_req_total,2020-02-28 10:52:08,checkoutservice,238
service_req_total,2020-02-28 10:51:53,checkoutservice,238
service_req_total,2020-02-28 10:51:38,checkoutservice,238
service_req_total,2020-02-28 10:51:23,checkoutservice,238
service_req_total,2020-02-28 10:51:08,checkoutservice,238
service_req_total,2020-02-28 10:50:53,checkoutservice,238
service_req_total,2020-02-28 10:50:38,checkoutservice,238
service_req_total,2020-02-28 10:50:23,checkoutservice,238
service_req_total,2020-02-28 10:50:08,checkoutservice,238
service_req_total,2020-02-28 10:49:53,checkoutservice,238
service_req_total,2020-02-28 10:49:38,checkoutservice,238
service_req_total,2020-02-28 10:49:23,checkoutservice,238
service_req_total,2020-02-28 10:49:08,checkoutservice,238
service_req_total,2020-02-28 10:48:53,checkoutservice,238
service_req_total,2020-02-28 10:48:38,checkoutservice,238
service_req_total,2020-02-28 10:48:23,checkoutservice,238
service_req_total,2020-02-28 10:48:08,checkoutservice,238
service_req_total,2020-02-28 10:47:53,checkoutservice,238
service_req_total,2020-02-28 10:47:38,checkoutservice,238
service_req_total,2020-02-28 10:47:23,checkoutservice,238
service_req_total,2020-02-28 10:47:08,checkoutservice,238
service_req_total,2020-02-28 10:46:53,checkoutservice,238
service_req_total,2020-02-28 10:46:38,checkoutservice,238
service_req_total,2020-02-28 10:46:23,checkoutservice,238
service_req_total,2020-02-28 10:46:08,checkoutservice,238
service_req_total,2020-02-28 10:45:53,checkoutservice,238
service_req_total,2020-02-28 10:45:38,checkoutservice,238
service_req_total,2020-02-28 10:45:23,checkoutservice,238
service_req_total,2020-02-28 10:45:08,checkoutservice,238
service_req_total,2020-02-28 10:44:53,checkoutservice,238
service_req_total,2020-02-28 10:44:38,checkoutservice,238
service_req_total,2020-02-28 10:44:23,checkoutservice,238
service_req_total,2020-02-28 10:44:08,checkoutservice,238
service_req_total,2020-02-28 10:43:53,checkoutservice,238
service_req_total,2020-02-28 10:43:38,checkoutservice,238
service_req_total,2020-02-28 10:43:23,checkoutservice,238
service_req_total,2020-02-28 10:43:08,checkoutservice,238
service_req_total,2020-02-28 10:42:53,checkoutservice,238
service_req_total,2020-02-28 10:42:38,checkoutservice,238
service_req_total,2020-02-28 10:42:23,checkoutservice,238
service_req_total,2020-02-28 10:42:08,checkoutservice,238
service_req_total,2020-02-28 10:41:53,checkoutservice,238
service_req_total,2020-02-28 10:41:38,checkoutservice,238
service_req_total,2020-02-28 10:41:23,checkoutservice,238
service_req_total,2020-02-28 10:41:08,checkoutservice,238
service_req_total,2020-02-28 10:40:53,checkoutservice,238
service_req_total,2020-02-28 10:40:38,checkoutservice,238
service_req_total,2020-02-28 10:40:23,checkoutservice,238
service_req_total,2020-02-28 10:40:08,checkoutservice,238
service_req_total,2020-02-28 10:39:53,checkoutservice,238
service_req_total,2020-02-28 10:39:23,checkoutservice,238
service_req_total,2020-02-28 10:39:08,checkoutservice,238
service_req_total,2020-02-28 10:38:53,checkoutservice,238
service_req_total,2020-02-28 10:38:38,checkoutservice,238
service_req_total,2020-02-28 10:38:23,checkoutservice,238
service_req_total,2020-02-28 10:03:08,checkoutservice,NaN
service_req_total,2020-02-28 10:02:38,checkoutservice,1
service_req_total,2020-02-28 10:02:23,checkoutservice,1
service_req_total,2020-02-28 10:02:08,checkoutservice,1
service_req_total,2020-02-28 10:01:53,checkoutservice,1
service_req_total,2020-02-28 10:01:38,checkoutservice,1
service_req_total,2020-02-28 10:01:23,checkoutservice,1
service_req_total,2020-02-28 10:01:08,checkoutservice,1
service_req_total,2020-02-28 10:00:53,checkoutservice,1
service_req_total,2020-02-28 10:00:38,checkoutservice,1
service_req_total,2020-02-28 10:00:23,checkoutservice,1
service_req_total,2020-02-28 10:00:08,checkoutservice,1
service_req_total,2020-02-28 09:59:53,checkoutservice,1
service_req_total,2020-02-28 09:59:38,checkoutservice,1
service_req_total,2020-02-28 09:59:23,checkoutservice,1
service_req_total,2020-02-28 09:59:08,checkoutservice,1
service_req_total,2020-02-28 09:58:53,checkoutservice,1
service_req_total,2020-02-28 09:58:38,checkoutservice,1
service_req_total,2020-02-28 09:58:23,checkoutservice,1
service_req_total,2020-02-28 09:58:08,checkoutservice,1
service_req_total,2020-02-28 09:57:53,checkoutservice,1
service_req_total,2020-02-28 09:57:38,checkoutservice,1
service_req_total,2020-02-28 09:57:23,checkoutservice,1
service_req_total,2020-02-28 09:57:08,checkoutservice,1
service_req_total,2020-02-28 09:56:53,checkoutservice,1
service_req_total,2020-02-28 09:56:38,checkoutservice,1
service_req_total,2020-02-28 09:56:23,checkoutservice,1
service_req_total,2020-02-28 09:56:08,checkoutservice,1
service_req_total,2020-02-28 09:55:53,checkoutservice,1
service_req_total,2020-02-28 09:55:38,checkoutservice,1
service_req_total,2020-02-28 09:55:23,checkoutservice,1
service_req_total,2020-02-28 09:55:08,checkoutservice,1
service_req_total,2020-02-28 09:54:53,checkoutservice,1
service_req_total,2020-02-28 09:33:08,checkoutservice,NaN
service_req_total,2020-02-28 09:32:53,checkoutservice,5
service_req_total,2020-02-28 09:32:38,checkoutservice,5
service_req_total,2020-02-28 09:32:23,checkoutservice,5
service_req_total,2020-02-28 09:32:08,checkoutservice,5
service_req_total,2020-02-28 09:31:53,checkoutservice,5
service_req_total,2020-02-28 09:31:38,checkoutservice,5
service_req_total,2020-02-28 09:31:23,checkoutservice,5
service_req_total,2020-02-28 09:31:08,checkoutservice,5
service_req_total,2020-02-28 09:30:53,checkoutservice,5
service_req_total,2020-02-28 09:30:38,checkoutservice,5
service_req_total,2020-02-28 09:30:23,checkoutservice,5
service_req_total,2020-02-28 09:30:08,checkoutservice,5
service_req_total,2020-02-28 09:29:53,checkoutservice,5
service_req_total,2020-02-28 09:29:38,checkoutservice,5
service_req_total,2020-02-28 09:29:23,checkoutservice,5
service_req_total,2020-02-28 09:29:08,checkoutservice,5
