name,ztime,node,value
node_load1,2020-02-27 23:29:57,192.168.228.12,12.28
node_load1,2020-02-27 23:29:42,192.168.228.12,11.2
node_load1,2020-02-27 23:29:27,192.168.228.12,11.23
node_load1,2020-02-27 23:29:12,192.168.228.12,11.72
node_load1,2020-02-27 23:28:57,192.168.228.12,12.85
node_load1,2020-02-27 23:28:42,192.168.228.12,14.76
node_load1,2020-02-27 23:28:27,192.168.228.12,15.45
node_load1,2020-02-27 23:28:12,192.168.228.12,15.37
node_load1,2020-02-27 23:27:57,192.168.228.12,15.61
node_load1,2020-02-27 23:27:42,192.168.228.12,14.91
node_load1,2020-02-27 23:27:27,192.168.228.12,14.07
node_load1,2020-02-27 23:27:12,192.168.228.12,11.93
node_load1,2020-02-27 23:26:57,192.168.228.12,11.01
node_load1,2020-02-27 23:26:27,192.168.228.12,10.56
node_load1,2020-02-27 23:26:12,192.168.228.12,9.99
node_load1,2020-02-27 23:25:57,192.168.228.12,8.56
node_load1,2020-02-27 23:25:42,192.168.228.12,6.91
node_load1,2020-02-27 23:25:27,192.168.228.12,5.16
node_load1,2020-02-27 23:25:12,192.168.228.12,4.93
node_load1,2020-02-27 23:24:57,192.168.228.12,6.15
node_load1,2020-02-27 23:24:42,192.168.228.12,7.22
node_load1,2020-02-27 23:24:27,192.168.228.12,5.39
node_load1,2020-02-27 23:24:12,192.168.228.12,4.32
node_load1,2020-02-27 23:23:57,192.168.228.12,4.95
node_load1,2020-02-27 23:23:42,192.168.228.12,4.36
node_load1,2020-02-27 23:23:27,192.168.228.12,4.24
node_load1,2020-02-27 23:23:12,192.168.228.12,4.16
node_load1,2020-02-27 23:22:57,192.168.228.12,5.15
node_load1,2020-02-27 23:22:42,192.168.228.12,5.18
node_load1,2020-02-27 23:22:27,192.168.228.12,5.85
node_load1,2020-02-27 23:22:12,192.168.228.12,4.3
node_load1,2020-02-27 23:21:57,192.168.228.12,5.13
node_load1,2020-02-27 23:21:42,192.168.228.12,4.85
node_load1,2020-02-27 23:21:12,192.168.228.12,5.3
node_load1,2020-02-27 23:20:57,192.168.228.12,4.91
node_load1,2020-02-27 23:20:42,192.168.228.12,6.31
node_load1,2020-02-27 23:20:27,192.168.228.12,7.06
node_load1,2020-02-27 23:20:12,192.168.228.12,8.45
node_load1,2020-02-27 23:19:57,192.168.228.12,9.49
node_load1,2020-02-27 23:19:42,192.168.228.12,8.57
node_load1,2020-02-27 23:19:12,192.168.228.12,6.99
node_load1,2020-02-27 23:18:57,192.168.228.12,6.47
node_load1,2020-02-27 23:18:42,192.168.228.12,6.22
node_load1,2020-02-27 23:18:27,192.168.228.12,7.16
node_load1,2020-02-27 23:18:12,192.168.228.12,7.85
node_load1,2020-02-27 23:17:42,192.168.228.12,8.11
node_load1,2020-02-27 23:17:27,192.168.228.12,6.02
node_load1,2020-02-27 23:17:12,192.168.228.12,4.38
node_load1,2020-02-27 23:16:57,192.168.228.12,3.94
node_load1,2020-02-27 23:16:42,192.168.228.12,4.41
node_load1,2020-02-27 23:16:27,192.168.228.12,5.57
node_load1,2020-02-27 23:16:12,192.168.228.12,5.51
node_load1,2020-02-27 23:15:57,192.168.228.12,5.86
node_load1,2020-02-27 23:15:42,192.168.228.12,5.42
node_load1,2020-02-27 23:15:27,192.168.228.12,5.4
node_load1,2020-02-27 23:15:12,192.168.228.12,6.22
node_load1,2020-02-27 23:14:57,192.168.228.12,7.14
node_load1,2020-02-27 23:14:42,192.168.228.12,8.96
node_load1,2020-02-27 23:14:27,192.168.228.12,9.61
node_load1,2020-02-27 23:14:12,192.168.228.12,9.08
node_load1,2020-02-27 23:13:57,192.168.228.12,9.99
node_load1,2020-02-27 23:13:42,192.168.228.12,10.74
node_load1,2020-02-27 23:13:27,192.168.228.12,11.9
node_load1,2020-02-27 23:12:27,192.168.228.12,9.29
node_load1,2020-02-27 23:12:12,192.168.228.12,11.93
node_load1,2020-02-27 23:11:57,192.168.228.12,10.8
node_load1,2020-02-27 23:11:27,192.168.228.12,11.45
node_load1,2020-02-27 23:11:12,192.168.228.12,14.16
node_load1,2020-02-27 23:10:57,192.168.228.12,12.23
node_load1,2020-02-27 23:10:42,192.168.228.12,12.66
node_load1,2020-02-27 23:10:27,192.168.228.12,12.32
node_load1,2020-02-27 23:09:57,192.168.228.12,14.15
node_load1,2020-02-27 23:09:42,192.168.228.12,14.52
node_load1,2020-02-27 23:09:27,192.168.228.12,11.99
node_load1,2020-02-27 23:08:57,192.168.228.12,13.28
node_load1,2020-02-27 23:08:42,192.168.228.12,13.03
node_load1,2020-02-27 23:08:27,192.168.228.12,12.37
node_load1,2020-02-27 23:08:12,192.168.228.12,11.26
node_load1,2020-02-27 23:07:57,192.168.228.12,11.77
node_load1,2020-02-27 23:07:42,192.168.228.12,11.65
node_load1,2020-02-27 23:07:27,192.168.228.12,10.92
node_load1,2020-02-27 23:07:12,192.168.228.12,9.09
node_load1,2020-02-27 23:06:57,192.168.228.12,5.45
node_load1,2020-02-27 23:06:42,192.168.228.12,4.51
node_load1,2020-02-27 23:06:27,192.168.228.12,3.57
node_load1,2020-02-27 23:06:12,192.168.228.12,3.08
node_load1,2020-02-27 23:05:57,192.168.228.12,3.49
node_load1,2020-02-27 23:05:42,192.168.228.12,4.23
node_load1,2020-02-27 23:05:27,192.168.228.12,5.17
node_load1,2020-02-27 23:05:12,192.168.228.12,5.14
node_load1,2020-02-27 23:04:57,192.168.228.12,4.11
node_load1,2020-02-27 23:04:42,192.168.228.12,4.62
node_load1,2020-02-27 23:04:27,192.168.228.12,5.84
node_load1,2020-02-27 23:04:12,192.168.228.12,5.6
node_load1,2020-02-27 23:03:57,192.168.228.12,6.93
node_load1,2020-02-27 23:03:42,192.168.228.12,7.44
node_load1,2020-02-27 23:03:27,192.168.228.12,7.31
node_load1,2020-02-27 23:03:12,192.168.228.12,7.14
node_load1,2020-02-27 23:02:57,192.168.228.12,6.67
node_load1,2020-02-27 23:02:27,192.168.228.12,7.33
node_load1,2020-02-27 23:02:12,192.168.228.12,8.01
node_load1,2020-02-27 23:01:57,192.168.228.12,9.37
node_load1,2020-02-27 23:01:42,192.168.228.12,8.9
node_load1,2020-02-27 23:01:27,192.168.228.12,8.01
node_load1,2020-02-27 23:01:12,192.168.228.12,7.1
node_load1,2020-02-27 23:00:57,192.168.228.12,5.98
node_load1,2020-02-27 23:00:42,192.168.228.12,5.75
