date,value,metric
2020-02-27 22:49:53,124747776.0,service_memory_use
2020-02-27 22:49:54,267438762.66666666,service_memory_use
2020-02-27 22:49:55,267438762.66666666,service_memory_use
2020-02-27 22:49:56,316721834.6666666,service_memory_use
2020-02-27 22:49:57,358023168.0,service_memory_use
2020-02-27 22:49:58,316895232.0,service_memory_use
2020-02-27 22:49:59,337891328.0,service_memory_use
2020-02-27 22:50:00,309641216.0,service_memory_use
2020-02-27 22:50:01,369475584.0,service_memory_use
2020-02-27 22:50:02,281825280.0,service_memory_use
2020-02-27 22:50:03,281825280.0,service_memory_use
2020-02-27 22:50:04,236638208.0,service_memory_use
2020-02-27 22:50:05,236638208.0,service_memory_use
2020-02-27 22:50:06,232253440.0,service_memory_use
2020-02-27 22:50:07,307570688.0,service_memory_use
2020-02-27 22:50:08,217110528.0,service_memory_use
2020-02-27 22:50:09,164673536.0,service_memory_use
2020-02-27 22:50:10,171964416.0,service_memory_use
2020-02-27 22:50:11,181295104.0,service_memory_use
2020-02-27 22:50:12,227064490.66666666,service_memory_use
2020-02-27 22:50:13,200542890.66666666,service_memory_use
2020-02-27 22:50:14,200542890.66666666,service_memory_use
2020-02-27 22:50:15,296479402.6666667,service_memory_use
2020-02-27 22:50:16,358484650.6666667,service_memory_use
2020-02-27 22:50:17,358484650.6666667,service_memory_use
2020-02-27 22:50:18,289866410.6666666,service_memory_use
2020-02-27 22:50:19,255046314.66666666,service_memory_use
2020-02-27 22:50:20,246350506.66666666,service_memory_use
2020-02-27 22:50:21,246350506.66666666,service_memory_use
2020-02-27 22:50:22,243712682.66666666,service_memory_use
2020-02-27 22:50:23,205032106.66666666,service_memory_use
2020-02-27 22:50:24,254233258.66666666,service_memory_use
2020-02-27 22:50:25,267010730.66666666,service_memory_use
2020-02-27 22:50:26,292188842.6666666,service_memory_use
2020-02-27 22:50:27,329822890.6666666,service_memory_use
2020-02-27 22:50:28,307405482.6666666,service_memory_use
2020-02-27 22:50:29,398746282.6666666,service_memory_use
2020-02-27 22:50:30,408085162.6666666,service_memory_use
2020-02-27 22:50:31,443687594.6666666,service_memory_use
2020-02-27 22:50:32,371647146.6666666,service_memory_use
2020-02-27 22:50:33,371647146.6666666,service_memory_use
2020-02-27 22:50:34,371647146.6666666,service_memory_use
2020-02-27 22:50:35,362082986.6666666,service_memory_use
2020-02-27 22:50:36,311590912.0,service_memory_use
2020-02-27 22:50:37,354025472.0,service_memory_use
2020-02-27 22:50:38,249970688.0,service_memory_use
2020-02-27 22:50:39,291651584.0,service_memory_use
2020-02-27 22:50:40,226979840.0,service_memory_use
2020-02-27 22:50:41,226979840.0,service_memory_use
2020-02-27 22:50:42,322670592.0,service_memory_use
2020-02-27 22:50:43,199143424.0,service_memory_use
2020-02-27 22:50:44,260710400.0,service_memory_use
2020-02-27 22:50:45,305963008.0,service_memory_use
2020-02-27 22:50:46,240205824.0,service_memory_use
2020-02-27 22:50:47,240205824.0,service_memory_use
2020-02-27 22:50:48,222109696.0,service_memory_use
2020-02-27 22:50:49,231497728.0,service_memory_use
2020-02-27 22:50:50,231497728.0,service_memory_use
2020-02-27 22:50:51,256876544.0,service_memory_use
2020-02-27 22:50:52,230064128.0,service_memory_use
2020-02-27 22:50:53,166899712.0,service_memory_use
2020-02-27 22:50:54,245735424.0,service_memory_use
2020-02-27 22:50:55,295825408.0,service_memory_use
2020-02-27 22:50:56,274743296.0,service_memory_use
2020-02-27 22:50:57,237187072.0,service_memory_use
2020-02-27 22:50:58,291844096.0,service_memory_use
2020-02-27 22:50:59,172163072.0,service_memory_use
2020-02-27 22:51:00,142327808.0,service_memory_use
2020-02-27 22:51:01,142327808.0,service_memory_use
2020-02-27 22:51:02,189138944.0,service_memory_use
2020-02-27 22:51:03,257705984.0,service_memory_use
2020-02-27 22:51:04,326047744.0,service_memory_use
2020-02-27 22:51:05,353662976.0,service_memory_use
2020-02-27 22:51:06,344094720.0,service_memory_use
2020-02-27 22:51:07,266940416.0,service_memory_use
2020-02-27 22:51:08,181526528.0,service_memory_use
2020-02-27 22:51:09,181526528.0,service_memory_use
2020-02-27 22:51:10,185475072.0,service_memory_use
2020-02-27 22:51:11,185475072.0,service_memory_use
2020-02-27 22:51:12,185475072.0,service_memory_use
2020-02-27 22:51:13,245432320.0,service_memory_use
2020-02-27 22:51:14,438390784.0,service_memory_use
2020-02-27 22:51:15,300081152.0,service_memory_use
2020-02-27 22:51:16,274198528.0,service_memory_use
2020-02-27 22:51:17,272270677.3333334,service_memory_use
2020-02-27 22:51:18,226944341.33333334,service_memory_use
2020-02-27 22:51:19,280634709.3333334,service_memory_use
2020-02-27 22:51:20,280634709.3333334,service_memory_use
2020-02-27 22:51:21,290026837.3333334,service_memory_use
2020-02-27 22:51:22,282867029.3333334,service_memory_use
2020-02-27 22:51:23,304246784.0,service_memory_use
2020-02-27 22:51:24,218804224.0,service_memory_use
2020-02-27 22:51:25,218804224.0,service_memory_use
2020-02-27 22:51:26,199770112.0,service_memory_use
2020-02-27 22:51:27,132837376.0,service_memory_use
2020-02-27 22:51:28,184070144.0,service_memory_use
2020-02-27 22:51:29,269580288.0,service_memory_use
2020-02-27 22:51:30,347430912.0,service_memory_use
2020-02-27 22:51:31,255868928.0,service_memory_use
2020-02-27 22:51:32,255868928.0,service_memory_use
2020-02-27 22:51:33,234586112.0,service_memory_use
2020-02-27 22:51:34,348172288.0,service_memory_use
2020-02-27 22:51:35,401385472.0,service_memory_use
2020-02-27 22:51:36,324155392.0,service_memory_use
2020-02-27 22:51:37,239296512.0,service_memory_use
2020-02-27 22:51:38,239296512.0,service_memory_use
2020-02-27 22:51:39,199241728.0,service_memory_use
2020-02-27 22:51:40,202653696.0,service_memory_use
2020-02-27 22:51:41,202653696.0,service_memory_use
2020-02-27 22:51:42,184516608.0,service_memory_use
2020-02-27 22:51:43,261570560.0,service_memory_use
2020-02-27 22:51:44,327477248.0,service_memory_use
2020-02-27 22:51:45,282191872.0,service_memory_use
2020-02-27 22:51:46,303081472.0,service_memory_use
2020-02-27 22:51:47,315209728.0,service_memory_use
2020-02-27 22:51:48,324163584.0,service_memory_use
2020-02-27 22:51:49,342935552.0,service_memory_use
2020-02-27 22:51:50,342935552.0,service_memory_use
2020-02-27 22:51:51,369719296.0,service_memory_use
2020-02-27 22:51:52,327387136.0,service_memory_use
2020-02-27 22:51:53,248834048.0,service_memory_use
2020-02-27 22:51:54,301021184.0,service_memory_use
2020-02-27 22:51:55,278056960.0,service_memory_use
2020-02-27 22:51:56,268705792.0,service_memory_use
2020-02-27 22:51:57,189693952.0,service_memory_use
2020-02-27 22:51:58,177602560.0,service_memory_use
2020-02-27 22:51:59,210726912.0,service_memory_use
2020-02-27 22:52:00,216780800.0,service_memory_use
2020-02-27 22:52:01,216780800.0,service_memory_use
2020-02-27 22:52:02,262234112.0,service_memory_use
2020-02-27 22:52:03,307073024.0,service_memory_use
2020-02-27 22:52:04,307073024.0,service_memory_use
2020-02-27 22:52:05,247627776.0,service_memory_use
2020-02-27 22:52:06,247627776.0,service_memory_use
2020-02-27 22:52:07,274472960.0,service_memory_use
2020-02-27 22:52:08,240189440.0,service_memory_use
2020-02-27 22:52:09,248270848.0,service_memory_use
2020-02-27 22:52:10,248270848.0,service_memory_use
2020-02-27 22:52:11,143601664.0,service_memory_use
2020-02-27 22:52:12,99778560.0,service_memory_use
2020-02-27 22:52:13,140652544.0,service_memory_use
2020-02-27 22:52:14,228433920.0,service_memory_use
2020-02-27 22:52:15,234283008.0,service_memory_use
2020-02-27 22:52:16,203612160.0,service_memory_use
2020-02-27 22:52:17,261939200.0,service_memory_use
2020-02-27 22:52:18,157716480.0,service_memory_use
2020-02-27 22:52:19,140943360.0,service_memory_use
2020-02-27 22:52:20,132059136.0,service_memory_use
2020-02-27 22:52:21,152420352.0,service_memory_use
2020-02-27 22:52:22,196925440.0,service_memory_use
2020-02-27 22:52:23,209041408.0,service_memory_use
2020-02-27 22:52:24,209041408.0,service_memory_use
2020-02-27 22:52:25,209041408.0,service_memory_use
